Id,LotArea,YearBuilt,TotalBsmtSF,GrLivArea,FullBath,GarageCars,SalePrice
96,9765,1993,680,1470,2,2,185000
97,10264,1999,1588,1588,2,2,214000
98,10921,1965,960,960,1,1,94750
99,10625,1920,458,835,1,1,83000
100,9320,1959,950,1225,1,0,128950
101,10603,1977,1610,1610,2,2,205000
102,9206,1985,741,1732,2,2,178000
103,7018,1979,0,1535,2,2,118964
104,10402,2009,1226,1226,2,3,198900
105,7758,1931,1040,1818,1,1,169500
106,9375,2003,1053,1992,2,2,250000
107,10800,1885,641,1047,1,1,100000
108,6000,1948,789,789,1,1,115000
109,8500,1919,793,1517,2,0,115000
110,11751,1977,1844,1844,2,2,190000
111,9525,1954,994,1855,2,1,136900
112,7750,2000,384,1430,2,2,180000
113,9965,2007,1264,2696,2,3,383970
114,21000,1953,1809,2259,2,2,217000
115,7259,1945,1028,2320,2,1,259500
116,3230,1999,729,1458,2,2,176000
117,11616,1962,1092,1092,1,1,139000
118,8536,2006,1125,1125,1,2,155000
119,12376,1990,1673,3222,3,3,320000
120,8461,2005,728,1456,2,2,163990
121,21453,1969,938,988,1,2,180000
122,6060,1939,732,1123,1,1,100000
123,9464,1958,1080,1080,1,1,136000
124,7892,1993,1199,1199,2,2,153900
125,17043,1979,1362,1586,2,2,181000
126,6780,1935,520,754,1,0,84500
127,4928,1976,1078,958,2,2,128000
128,4388,1930,672,840,1,0,87000
129,7590,1966,660,1348,1,2,155000
130,8973,1958,1008,1053,1,2,150000
131,14200,1966,924,2157,2,2,226000
132,12224,2000,992,2054,2,2,244000
133,7388,1959,1063,1327,1,2,150750
134,6853,2001,1267,1296,2,2,220000
135,10335,1968,1461,1721,2,2,180000
136,10400,1970,1304,1682,2,2,174000
137,10355,1967,1214,1214,2,1,143000
138,11070,1988,1907,1959,3,3,171000
139,9066,1999,1004,1852,2,3,230000
140,15426,1997,928,1764,2,2,231500
141,10500,1971,864,864,1,0,115000
142,11645,2005,1734,1734,2,2,260000
143,8520,1952,910,1385,2,2,166000
144,10335,1999,1490,1501,2,2,204000
145,9100,1963,1728,1728,2,2,125000
146,2522,2004,970,1709,2,2,130000
147,6120,1931,715,875,1,1,105000
148,9505,2001,884,2035,2,2,222500
149,7500,2004,1080,1080,1,0,141000
150,6240,1936,896,1344,1,1,115000
151,10356,1975,969,969,1,2,122000
152,13891,2007,1710,1710,2,3,372402
153,14803,1971,825,1993,2,2,190000
154,13500,1960,1602,1252,1,2,235000
155,11340,1923,1200,1200,1,1,125000
156,9600,1924,572,1096,1,0,79000
157,7200,1950,0,1040,1,2,109500
158,12003,2009,774,1968,2,3,269500
159,12552,2004,991,1947,2,2,254900
160,19378,2005,1392,2462,2,2,320000
161,11120,1984,1232,1232,2,2,162500
162,13688,2003,1572,2668,2,3,412500
163,12182,2005,1541,1541,2,2,220000
164,5500,1956,882,882,1,0,103200
165,5400,1926,1149,1616,2,1,152000
166,10106,1940,644,1355,2,0,127500
167,10708,1955,1617,1867,1,1,190000
168,10562,2007,1582,2161,1,3,325624
169,8244,2004,840,1720,2,2,183500
170,16669,1981,1686,1707,2,2,228000
171,12358,1941,720,1382,1,2,128500
172,31770,1960,1080,1656,1,2,215000
173,5306,1987,1064,1767,2,2,239000
174,10197,1961,1362,1362,1,2,163000
175,12416,1986,1606,1651,2,2,184000
176,12615,1950,1202,2158,2,2,243000
177,10029,1988,1151,2060,2,2,211000
178,13650,1958,1052,1920,2,2,172500
179,17423,2008,2216,2234,2,3,501837
180,8520,1923,968,968,1,2,100000
181,2117,2000,756,1525,2,2,177000
182,7588,1920,793,1802,1,1,200100
183,9060,1957,0,1340,1,1,120000
184,11426,2003,1362,2082,2,2,200000
185,7438,1908,504,1252,1,2,127000
186,22950,1892,1107,3608,2,3,475000
187,9947,1990,1188,1217,2,2,173000
188,10410,1916,660,1656,2,1,135000
189,7018,1979,1086,1224,0,2,153337
190,4923,2001,1593,1593,1,2,286000
191,10570,1932,853,2727,2,2,315000
192,7472,1972,725,1479,1,2,184000
193,9017,1999,1431,1431,2,2,192000
194,2522,2004,970,1709,2,2,130000
195,7180,1972,864,864,1,1,127000
196,2280,1976,855,1456,2,2,148500
197,9416,2007,1726,1726,2,3,311872
198,25419,1918,1360,3112,2,2,235000
199,5520,1912,755,2229,1,0,104000
200,9591,2004,1713,1713,2,3,274900
201,8546,2003,1121,1121,2,2,140000
202,10125,1977,1196,1279,2,2,171500
203,7000,1924,617,1310,2,1,112000
204,4438,2004,848,848,1,2,149000
205,3500,1947,720,1284,1,1,110000
206,11851,1990,1424,1442,2,2,180500
207,13673,1962,1140,1696,1,1,143900
208,12493,1960,1100,1100,1,1,141000
209,14364,1988,1157,2062,2,2,277000
210,8250,1964,1092,1092,1,2,145000
211,5604,1925,864,864,1,0,98000
212,10420,2009,1212,1212,2,2,186000
213,8640,2009,900,1852,2,2,252678
214,13568,1995,990,990,1,2,156000
215,10900,1977,689,1392,1,1,161750
216,10011,1957,1070,1236,1,1,134450
217,8450,2004,1436,1436,2,2,210000
218,9906,1925,686,1328,1,1,107000
219,15660,1939,798,1954,1,2,311500
220,3010,2005,1248,1248,2,2,167240
221,8990,2006,1498,1498,2,2,204900
222,8068,2002,1010,2267,2,2,200000
223,11475,1975,713,1552,2,2,179900
224,10500,1971,864,864,1,2,97000
225,13472,2003,2392,2392,2,3,386250
226,1680,1971,630,1302,2,1,112000
227,9950,1995,1203,2520,2,3,290000
228,1869,1970,483,987,1,1,106000
229,8521,1967,912,912,1,1,125000
230,3182,2005,1373,1555,2,2,192500
231,8760,1959,1194,1194,1,1,148000
232,15138,1995,1462,2794,2,3,403000
233,1680,1972,483,987,1,1,94500
234,10650,1976,894,894,1,1,128200
235,7851,2002,860,1960,2,2,216500
236,1680,1971,483,987,1,1,89500
237,8773,2004,1414,1414,2,2,185500
238,9453,1993,996,1744,2,2,194500
239,12030,2007,1694,1694,2,3,318000
240,8741,1945,735,1487,1,1,113000
241,9000,2008,1566,1566,2,2,262500
242,3880,1945,686,866,1,0,110500
243,5000,1900,540,1440,1,1,79000
244,10762,1980,626,1217,1,1,120000
245,8880,1994,948,2110,2,2,205000
246,10400,1988,1845,1872,2,2,241500
247,9142,1910,1020,1928,2,1,137000
248,11310,1954,1367,1375,1,2,140000
249,11317,2003,840,1668,2,2,180000
250,159000,1958,1444,2144,2,2,277000
251,5350,1940,728,1306,1,0,76500
252,4750,2006,1573,1625,2,2,235000
253,8366,2004,798,1640,2,2,173000
254,9350,1964,1302,1302,2,1,158000
255,8400,1957,1314,1314,1,1,145000
256,8738,1999,975,2291,2,2,230000
257,8791,2003,864,1728,2,2,207500
258,8814,2006,1604,1604,2,2,220000
259,12435,2001,963,1792,2,2,231500
260,12702,1956,0,882,1,1,97000
261,19296,1962,1362,1382,1,2,176000
262,9588,2007,1482,2574,2,3,276000
263,8471,1977,506,1212,1,2,151000
264,5500,1929,926,1316,1,2,130000
265,5232,1925,680,764,1,2,73000
266,12090,1981,1422,1422,2,2,175500
267,11207,1997,802,1511,2,2,185000
268,8400,1939,720,2192,2,1,179500
269,6900,1940,740,778,1,1,120500
270,7917,1976,1143,1113,1,1,148000
271,10728,2006,1095,1939,2,3,266000
272,39104,1954,1385,1363,1,2,241500
273,11764,1999,1152,2270,2,3,290000
274,9600,1958,1240,1632,2,1,139000
275,8314,1982,816,816,1,1,124500
276,7264,1925,952,1548,2,2,205000
277,9196,2003,1560,1560,2,2,201000
278,19138,1951,864,864,1,2,141000
279,14450,2006,2121,2121,2,3,415298
280,10005,1977,1160,2022,2,2,192000
281,11287,1989,807,1982,2,2,228500
282,7200,2006,1262,1262,2,2,185000
283,5063,2007,1314,1314,2,2,207500
284,9612,2008,1468,1468,2,3,244600
285,8012,1992,1575,1575,2,2,179200
286,4251,2006,625,1250,2,2,164700
287,9786,1962,912,1734,1,2,159000
288,8125,1971,858,858,1,0,88000
289,9819,1967,882,900,1,1,122000
290,8730,1915,698,1396,1,1,153575
291,15611,2006,1079,1919,2,2,233230
292,5687,1912,780,1716,2,0,135900
293,11409,1949,768,1716,1,1,131000
294,16659,1977,795,2263,2,2,235000
295,9600,1953,1416,1644,1,2,167000
296,7937,1984,1003,1003,1,2,142500
297,13710,1950,910,1558,1,1,152000
298,7399,1997,975,1950,2,2,239000
299,11700,1968,702,1743,1,2,175000
300,14000,1950,1092,1152,1,1,158500
301,15750,1953,1165,1336,1,1,157000
302,16226,1998,1028,2452,2,2,267000
303,13704,2001,1541,1541,2,3,205000
304,9800,1972,894,894,1,2,149900
305,18386,1880,1470,3493,3,3,295000
306,10386,2004,2000,2000,2,3,305900
307,13474,1990,700,2243,2,3,225000
308,7920,1920,319,1406,1,0,89500
309,12342,1940,861,861,1,2,82500
310,12378,2003,1896,1944,2,3,360000
311,7685,1993,697,1501,2,2,165600
312,8000,1948,972,972,1,1,132000
313,7800,1939,793,1118,1,2,119900
314,215245,1965,2136,2036,2,2,375000
315,9600,1925,728,1641,1,2,178000
316,7795,2004,716,1432,2,2,188500
317,13005,1980,845,2353,2,2,260000
318,9000,2006,1088,1959,2,3,270000
319,9900,1993,1347,2646,2,3,260000
320,14115,1980,1372,1472,2,2,187500
321,16259,2006,1249,2596,3,3,342643
322,12099,2004,1136,2468,2,3,354000
323,10380,1986,1502,2730,2,2,301000
324,5820,1955,1162,1163,1,1,126175
325,11275,1967,710,2978,2,2,242000
326,5000,1941,720,803,1,2,87000
327,10846,1993,1719,1719,1,2,324000
328,11600,1960,1383,1383,1,1,145250
329,11888,1916,844,2134,2,2,214500
330,6402,1920,596,1192,1,1,78000
331,10624,1964,1728,1728,2,1,119000
332,8176,1958,1056,1056,1,1,139000
333,10655,2003,3206,1629,2,3,284000
334,8198,2004,1358,1358,2,2,207000
335,9042,1998,943,1638,2,2,192000
336,164660,1965,1499,1786,2,2,228950
337,14157,2005,1922,1922,2,3,377426
338,9135,2002,1536,1536,2,2,214000
339,14145,1984,1208,1621,2,2,202500
340,12400,1958,1215,1215,1,1,155000
341,14191,2002,967,1908,2,2,202900
342,8400,1950,721,841,1,1,82000
343,8544,1949,0,1040,2,2,87500
344,8849,2005,1684,1684,2,2,266000
345,2592,1976,536,1112,1,1,85000
346,6435,1939,972,1577,1,1,140200
347,12772,1960,958,958,1,1,151500
348,17600,1960,1478,1478,2,2,157500
349,2448,2003,764,1626,2,2,154000
350,20431,2005,1848,2728,2,3,437154
351,7820,2007,1869,1869,2,2,318061
352,5271,1986,1453,1453,1,2,190000
353,9084,1941,616,1111,1,1,95000
354,8520,1928,624,720,1,2,105900
355,8400,1940,940,1595,1,1,140000
356,11249,1995,1200,1200,2,2,177500
357,9248,1992,1158,1167,2,2,173000
358,4224,1976,1142,1142,1,2,134000
359,6930,1958,1062,1352,1,1,130000
360,12011,1998,1086,1924,2,2,280000
361,7540,1978,888,912,1,2,156000
362,9144,1940,883,1505,1,1,145000
363,7301,2003,0,1922,3,2,198500
364,1680,1972,483,987,1,1,118000
365,18800,1976,796,1574,2,2,190000
366,10690,1920,672,1344,1,1,147000
367,9500,1963,1394,1394,1,2,159000
368,9150,1962,1099,1431,1,1,165000
369,7800,1954,1268,1268,1,1,132000
370,9830,1959,1063,1287,1,2,162000
371,8121,2000,953,1664,2,2,172400
372,17120,1959,0,1588,2,2,134432
373,7175,1984,744,752,1,1,125000
374,10634,1953,608,1319,1,1,123000
375,8200,2003,847,1928,2,2,219500
376,10020,1922,683,904,0,0,61000
377,8846,1996,870,914,1,2,148000
378,11143,2004,1580,2466,3,2,340000
379,11394,2010,1856,1856,1,3,394432
380,8123,2000,982,1800,2,2,179000
381,5000,1924,1026,1691,2,1,127000
382,7200,2006,1293,1301,2,2,187750
383,9245,2006,939,1797,2,2,213500
384,9000,1928,784,784,1,2,76000
385,53107,1992,1580,1953,2,2,240000
386,3182,2004,1256,1269,2,2,192000
387,8410,1910,658,1184,1,0,81000
388,7200,1976,1041,1125,1,1,125000
389,9382,1999,1468,1479,2,2,191000
390,12474,2007,1682,2332,2,3,426000
391,8405,1900,861,1367,1,1,119000
392,12209,2001,804,1961,2,2,215000
393,8339,1959,0,882,1,1,106500
394,7446,1941,788,788,1,0,100000
395,10134,1940,735,1034,1,1,109000
396,9571,1956,1144,1144,1,1,129000
397,7200,1972,894,894,1,2,123000
398,7590,1962,864,1812,2,1,169500
399,8967,1920,961,1077,1,1,67000
400,8125,2006,1092,1550,2,2,241000
401,14963,1996,1260,1288,1,2,245500
402,8767,2005,1310,1310,2,2,164990
403,10200,1940,672,672,1,1,108000
404,12090,1998,1141,2263,2,2,258000
405,10364,1995,806,1572,2,2,168000
406,9991,1976,1281,1620,2,2,150000
407,10480,1936,1064,1639,1,1,115000
408,15576,1915,840,1680,2,1,177000
409,14154,2006,1063,2172,2,3,280000
410,10800,2007,1034,2078,2,3,339750
411,9571,1958,1276,1276,1,1,60000
412,34650,1955,1056,1056,1,2,145000
413,4403,2009,1470,1478,2,2,222000
414,8960,1927,1008,1028,1,2,115000
415,11228,1993,1080,2097,2,3,228000
416,8899,2007,1340,1340,2,2,181134
417,7844,1978,672,1400,1,2,149500
418,22420,1918,1370,2624,2,3,239000
419,8160,1940,756,1134,1,1,126000
420,8450,1968,1056,1056,1,1,142000
421,7060,1997,1344,1344,2,4,206300
422,16635,1977,1602,1602,2,2,215000
423,21750,1954,988,988,1,2,113000
424,9200,1998,1470,2630,2,3,315000
425,9000,1956,1196,1196,1,1,139000
426,3378,1946,651,1389,1,1,135000
427,12800,1989,1518,1644,2,2,275000
428,8593,1957,907,907,1,1,109008
429,6762,2007,1208,1208,2,2,195400
430,11457,1988,1392,1412,2,2,175000
431,1680,1971,483,987,1,1,85400
432,5586,1920,901,1198,1,0,79900
433,1920,1971,765,1365,1,2,122500
434,10839,1997,926,1604,2,2,181000
435,1890,1972,630,630,1,0,81000
436,10667,1996,799,1661,2,2,212000
437,4400,1920,648,1118,1,2,116000
438,6000,1926,884,904,1,1,119000
439,4280,1913,440,694,1,1,90350
440,12354,1920,684,1196,1,2,110000
441,15431,2008,3094,2402,2,3,555000
442,12108,1955,1440,1440,2,0,118000
443,6240,1930,1078,1573,2,2,162900
444,3922,2006,1258,1258,2,3,172500
445,8750,1994,915,1908,2,2,210000
446,9855,1956,1436,1689,1,2,127500
447,16492,1966,1517,1888,2,2,190000
448,11214,1998,930,1886,2,2,199900
449,8600,1937,780,1376,2,1,119500
450,6000,1948,649,1183,1,1,120000
451,5684,1930,813,813,1,1,110000
452,70761,1975,1533,1533,2,2,280000
453,9303,1996,872,1756,2,2,204000
454,9000,2008,768,1590,2,2,210000
455,9297,1976,1728,1728,2,2,188000
456,9600,1973,1242,1242,1,2,175500
457,4571,1916,624,1344,1,3,98000
458,53227,1954,1364,1663,1,2,256000
459,5100,1925,588,1666,1,1,161000
460,7015,1950,709,1203,1,1,110000
461,8004,2009,832,1935,2,2,263435
462,7200,1936,560,1135,1,2,155000
463,8281,1965,864,864,1,1,62383
464,11988,1934,715,1660,1,1,188700
465,8430,1978,1040,1040,2,0,124000
466,3072,2004,1375,1414,2,2,178740
467,10628,1970,1277,1277,1,2,167000
468,9480,1942,728,1644,1,1,146500
469,11428,2006,1626,1634,2,3,250000
470,9291,1993,832,1710,2,2,187000
471,6820,1985,1488,1502,1,2,212000
472,11952,1977,808,1969,2,2,190000
473,3675,2005,547,1072,1,2,148000
474,14977,2006,1976,1976,2,3,440000
475,5330,2000,1494,1652,2,2,251000
476,8480,1963,970,970,1,2,132500
477,13125,1997,1478,1493,2,2,208900
478,13693,2006,2153,2643,2,3,380000
479,10637,2007,1705,1718,2,3,297000
480,5925,1937,907,1131,1,2,89471
481,16033,2004,1833,1850,2,3,326000
482,11846,2003,1792,1792,2,3,374000
483,2500,1915,910,1826,1,1,155000
484,4500,1998,1216,1216,2,2,164000
485,7758,1962,999,999,1,1,132500
486,9600,1950,1113,1113,1,1,147000
487,10289,1965,1073,1073,1,2,156000
488,12243,1971,1484,1484,2,2,175000
489,10800,1900,954,2414,2,2,160000
490,1526,1970,630,630,1,1,86000
491,2665,1976,264,1304,1,1,115000
492,9490,1941,806,1578,1,1,133000
493,15578,2006,728,1456,2,2,172785
494,7931,1960,1269,1269,1,1,155000
495,5784,1938,190,886,1,1,91300
496,7879,1920,720,720,1,0,34900
497,12692,1992,3200,3228,3,2,430000
498,9120,1925,1026,1820,2,1,184000
499,7800,1967,864,899,1,1,130000
500,7535,1958,912,912,1,1,120000
501,1890,1973,672,1218,1,1,113000
502,9803,2005,866,1768,2,2,226700
503,9170,1965,1214,1214,1,2,140000
504,15602,1959,1501,1801,2,2,289000
505,2308,1974,855,1322,2,2,147000
506,7596,1952,960,1960,2,2,124500
507,9554,1993,777,1911,2,2,215000
508,7862,2009,1218,1218,2,2,208300
509,9600,1928,689,1378,2,2,161000
510,9600,1959,1041,1041,1,1,124500
511,14559,1951,1008,1363,1,1,164900
512,6792,2005,1368,1368,2,2,202665
513,9100,1958,864,864,1,2,129900
514,9187,1983,1084,1080,1,2,134000
515,10594,1926,768,789,1,1,96500
516,12220,2009,2006,2020,2,3,402861
517,10448,1972,689,2119,2,2,158000
518,10208,1996,1264,2344,2,3,265000
519,9531,1998,794,1796,2,2,211000
520,10918,1926,1276,2080,1,1,234000
521,10800,1900,0,1294,2,0,106250
522,11988,1957,1244,1244,1,1,150000
523,5000,1947,1004,1664,2,2,159000
524,40094,2007,3138,4676,3,3,184750
525,11787,1996,1379,2398,2,3,315750
526,7500,2005,1257,1266,2,2,176000
527,13300,1956,928,928,1,1,132000
528,14948,2008,1452,2713,2,3,446261
529,9098,1920,528,605,1,0,86000
530,32668,1957,2035,2515,3,2,200624
531,10200,1988,1461,1509,2,2,175000
532,6155,1920,611,1362,2,2,128000
533,7200,1955,0,827,1,1,107500
534,5000,1946,0,334,1,0,39300
535,9056,2004,707,1414,2,2,178000
536,7000,1910,1117,1347,1,0,107500
537,8924,1998,880,1724,2,2,188000
538,12735,1972,864,864,1,2,111250
539,11553,1968,1051,1159,1,1,158000
540,11423,2001,1581,1601,2,2,272000
541,14601,2006,1838,1838,2,3,315000
542,11000,2000,969,2285,2,3,248000
543,10140,1998,1650,1680,2,2,213250
544,4058,1998,723,767,1,1,133000
545,17104,2006,654,1496,2,2,179665
546,13837,1988,1204,2183,2,3,229000
547,8737,1923,1065,1635,1,2,210000
548,7244,1970,768,768,1,2,129500
549,8235,1955,825,825,1,2,125000
550,9375,2003,912,2094,2,2,263000
551,4043,1977,1069,1069,2,2,140000
552,6000,1957,928,928,1,1,112500
553,11146,2006,1709,1717,2,3,255500
554,8777,1949,0,1126,2,2,108000
555,10625,2003,998,2046,2,3,284000
556,6380,1922,993,1048,1,1,113000
557,14850,1957,1092,1092,1,1,141000
558,11040,1920,637,1336,1,1,108000
559,21872,1996,729,1446,2,2,175000
560,3196,2003,1374,1557,2,2,234000
561,11341,1957,1392,1392,1,2,121500
562,10010,1974,1389,1389,1,2,170000
563,13907,1940,996,996,1,0,108000
564,21780,1918,1163,1674,2,2,185000
565,13346,1992,1095,2295,2,2,268000
566,6858,1915,806,1647,1,1,128000
567,11198,2005,1122,2504,2,3,325000
568,10171,2004,1517,1535,2,2,214000
569,12327,1983,1496,2132,1,2,316600
570,7032,1979,943,943,1,2,135960
571,13101,1965,1728,1728,2,2,142600
572,7332,1959,864,864,1,1,120000
573,13159,2009,846,1692,2,2,224500
574,9967,2000,384,1430,2,2,170000
575,10500,1971,372,1109,1,1,139000
576,8480,1947,832,1216,1,1,118500
577,6292,1928,861,1477,2,1,145000
578,11777,1966,1164,1320,1,2,164500
579,3604,2007,689,1392,2,2,146000
580,12150,1954,1050,1795,2,1,131500
581,14585,1960,1144,1429,1,2,181900
582,12704,2008,2042,2042,2,3,253293
583,11841,1990,816,816,1,0,118500
584,13500,1893,1237,2775,3,2,325000
585,6120,1935,884,1573,1,1,133000
586,11443,2005,1868,2028,2,3,369900
587,10267,1918,816,838,1,1,130000
588,8740,1982,840,860,1,2,137000
589,25095,1968,1437,1473,1,1,143000
590,9100,1930,742,935,1,1,79500
591,8320,2004,770,1582,2,2,185900
592,13478,2008,1722,2296,2,3,451950
593,6600,1982,816,816,1,2,138000
594,4435,2003,848,848,1,2,140000
595,7990,1975,924,924,1,1,110000
596,11302,2005,1814,1826,2,3,319000
597,3600,1910,684,1368,1,1,114504
598,3922,2006,1258,1402,0,3,194201
599,12984,1977,1430,1647,2,2,217500
600,1950,1980,716,1556,2,2,151000
601,10927,2005,1058,1904,2,2,275000
602,9000,1937,780,1375,1,1,141000
603,10041,1992,908,1915,2,2,220000
604,3182,2004,600,1200,2,2,151000
605,12803,2002,1494,1494,2,2,221000
606,13600,1965,768,1986,2,2,205000
607,12464,1996,1040,1040,1,2,152000
608,7800,1948,896,2008,3,1,225000
609,12168,1934,965,3194,2,2,359100
610,7943,1961,1029,1029,1,1,118500
611,11050,2000,1440,2153,2,3,313000
612,10395,1978,1032,1032,2,2,148000
613,11885,2001,1299,1872,2,2,261500
614,8402,2007,1120,1120,1,0,147000
615,1491,1972,630,630,1,0,75500
616,8800,1963,936,1054,1,2,137500
617,7861,2002,783,1509,2,2,183200
618,7227,1954,832,832,1,2,105500
619,11694,2007,1822,1828,2,3,314813
620,12244,2003,1482,2262,2,3,305000
621,8248,1914,864,864,1,0,67000
622,10800,1974,1522,2614,2,2,240000
623,7064,1977,980,980,1,2,135000
624,2117,2000,756,1512,2,2,168500
625,10400,1972,732,1790,1,2,165150
626,10000,1962,1116,1116,1,2,160000
627,12342,1960,978,1422,1,1,139900
628,9600,1955,1156,1520,1,1,153000
629,11606,1969,1040,2080,1,2,135000
630,9020,1964,1248,1350,1,2,168500
631,9000,1880,636,1750,1,1,124000
632,4590,2006,1554,1554,2,2,209500
633,11900,1977,1386,1411,2,2,82500
634,9250,1954,1056,1056,1,1,139400
635,6979,1980,1056,1056,0,2,144000
636,10896,1914,1440,3395,2,0,200000
637,6120,1936,264,800,1,0,60000
638,6000,1954,811,1387,2,1,93000
639,8777,1910,796,796,1,0,85000
640,3982,2006,1520,1567,2,3,264561
641,12677,2003,1518,1518,1,2,274000
642,7050,2001,1057,1929,2,2,226000
643,13860,1972,1952,2704,2,2,345000
644,10793,1969,780,1620,2,2,152000
645,9187,2009,1766,1766,2,3,370878
646,10530,1971,981,981,1,2,143250
647,7200,1950,0,1048,1,2,98300
648,10452,1953,1094,1094,1,2,155000
649,7700,1966,756,1839,1,2,155000
650,1936,1970,630,630,1,0,84500
651,8125,2007,813,1665,2,2,205950
652,9084,1940,755,1510,1,1,108000
653,8750,1996,880,1716,2,2,191000
654,10320,1906,756,1469,1,1,135000
655,10437,1995,2109,2113,2,3,350000
656,1680,1971,525,1092,1,1,88000
657,10007,1959,1053,1053,1,1,145500
658,7200,1931,776,1502,1,1,149000
659,17503,1948,912,1458,1,1,97500
660,9937,1964,1486,1486,1,2,167000
661,12384,1976,793,1935,2,2,197900
662,46589,1994,1629,2448,2,3,402000
663,13560,1968,1392,1392,1,2,110000
664,10012,1972,1138,1181,2,2,137500
665,20896,2005,2077,2097,1,3,423000
666,11194,2000,1406,1936,2,2,230500
667,18450,1965,1021,2380,2,2,129000
668,8125,1994,1408,1679,2,2,193500
669,14175,1956,1188,1437,1,2,168000
670,11600,1922,700,1180,1,1,137500
671,8633,2005,738,1476,2,2,173500
672,6629,1925,672,1369,2,1,103600
673,11250,1977,1208,1208,1,2,165000
674,14442,1957,1477,1839,2,2,257500
675,9200,1965,1136,1136,1,1,140000
676,2289,1978,855,1441,2,2,148500
677,9600,1900,1095,1774,2,3,87000
678,9022,1924,768,792,1,1,109500
679,11844,2008,2046,2046,2,3,372500
680,9945,1961,988,988,1,2,128500
681,8012,1980,923,923,2,1,143000
682,4500,1932,793,1520,1,1,159434
683,2887,1996,1291,1291,1,2,173000
